codigo_mesa	id_eleccion	partido_id	votos	pct_votos_validos	pct_votos_emitidos
015975	10	80	0	0.0	0.0
015975	10	81	10	0.0	4.348
015975	10	82	1	0.0	0.435
016068	10	10	181	79.386	60.333
016068	10	8	47	20.614	15.667
016068	10	80	60	0.0	20.0
016068	10	81	12	0.0	4.0
016068	10	82	0	0.0	0.0
016140	10	10	150	60.0	55.762
016140	10	8	19	7.6	7.063
016140	10	80	2	0.0	0.743
016140	10	81	17	0.0	6.32
016140	10	82	81	0.0	30.112
016209	10	10	160	83.333	76.923
016209	10	8	32	16.667	15.385
016209	10	80	2	0.0	0.962
016209	10	81	14	0.0	6.731
016209	10	82	0	0.0	0.0
016343	10	10	154	90.588	82.796
016343	10	8	16	9.412	8.602
016343	10	80	4	0.0	2.151
016343	10	81	12	0.0	6.452
016343	10	82	0	0.0	0.0
016620	10	10	181	90.955	90.5
016620	10	8	18	9.045	9.0
016620	10	80	1	0.0	0.5
016620	10	81	0	0.0	0.0
016620	10	82	0	0.0	0.0
016648	10	10	148	81.768	75.127
016648	10	8	32	17.68	16.244
016648	10	80	2	0.0	1.015
016648	10	81	14	0.0	7.107
016648	10	82	1	0.0	0.508
017030	10	10	166	85.567	55.333
017030	10	8	28	14.433	9.333
017030	10	80	95	0.0	31.667
017030	10	81	11	0.0	3.667
017030	10	82	0	0.0	0.0
017109	10	10	154	86.517	82.796
017109	10	8	24	13.483	12.903
017109	10	80	0	0.0	0.0
017109	10	81	8	0.0	4.301
017109	10	82	0	0.0	0.0
017235	10	10	143	67.773	65.596
017235	10	8	67	31.754	30.734
017235	10	80	0	0.0	0.0
017235	10	81	7	0.0	3.211
017235	10	82	1	0.0	0.459
017237	10	10	158	73.148	73.148
017237	10	8	44	20.37	20.37
017237	10	80	0	0.0	0.0
