id_eleccion	ubigeo	partido_id	nombre_candidato	nombre_agrupacion_politica	votos_validos	pct_votos_validos	pct_votos_emitidos	total_votos_validos_geo	total_votos_emitidos_geo	fuente
10	020400	80	VOTOS EN BLANCO	VOTOS EN BLANCO	377	1.531	1.388	24631	27159	local_agregado
10	020400	81	VOTOS NULOS	VOTOS NULOS	2185	8.871	8.045	24631	27159	local_agregado
10	020400	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	24631	27159	local_agregado
10	020500	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	11688	42.039	38.656	27803	30236	local_agregado
10	020500	8	FUERZA POPULAR	FUERZA POPULAR	16487	59.299	54.528	27803	30236	local_agregado
10	020500	80	VOTOS EN BLANCO	VOTOS EN BLANCO	313	1.126	1.035	27803	30236	local_agregado
10	020500	81	VOTOS NULOS	VOTOS NULOS	2148	7.726	7.104	27803	30236	local_agregado
10	020500	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	27803	30236	local_agregado
10	020600	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	1597	56.995	53.376	2802	2992	local_agregado
10	020600	8	FUERZA POPULAR	FUERZA POPULAR	1205	43.005	40.274	2802	2992	local_agregado
10	020600	80	VOTOS EN BLANCO	VOTOS EN BLANCO	36	1.285	1.203	2802	2992	local_agregado
10	020600	81	VOTOS NULOS	VOTOS NULOS	154	5.496	5.147	2802	2992	local_agregado
10	020600	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	2802	2992	local_agregado
10	020700	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	12277	47.062	42.637	26087	28794	local_agregado
10	020700	8	FUERZA POPULAR	FUERZA POPULAR	13810	52.938	47.961	26087	28794	local_agregado
10	020700	80	VOTOS EN BLANCO	VOTOS EN BLANCO	364	1.395	1.264	26087	28794	local_agregado
10	020700	81	VOTOS NULOS	VOTOS NULOS	2343	8.981	8.137	26087	28794	local_agregado
10	020700	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	26087	28794	local_agregado
10	020800	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	23136	74.981	70.341	30856	32891	local_agregado
10	020800	8	FUERZA POPULAR	FUERZA POPULAR	8682	28.137	26.396	30856	32891	local_agregado
10	020800	80	VOTOS EN BLANCO	VOTOS EN BLANCO	319	1.034	0.97	30856	32891	local_agregado
10	020800	81	VOTOS NULOS	VOTOS NULOS	1775	5.753	5.397	30856	32891	local_agregado
10	020800	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	4	0.013	0.012	30856	32891	local_agregado
